x,y,result
78.0,-19.0,SHOT
-37.0,-10.0,SHOT
47.0,-23.0,SHOT
53.0,14.0,SHOT
77.0,-2.0,SHOT
80.0,1.0,SHOT
74.0,14.0,SHOT
87.0,-3.0,GOAL
-51.0,18.0,SHOT
-77.0,-7.0,SHOT
-57.0,28.0,SHOT
-82.0,3.0,SHOT
-70.0,4.0,SHOT
-64.0,-14.0,GOAL
-66.0,30.0,SHOT
84.0,5.0,SHOT
42.0,-10.0,SHOT
-39.0,-28.0,SHOT
-63.0,-13.0,SHOT
-64.0,5.0,SHOT
-70.0,18.0,SHOT
37.0,13.0,SHOT
47.0,23.0,SHOT
83.0,12.0,SHOT
-57.0,3.0,SHOT
-84.0,5.0,SHOT
83.0,0.0,SHOT
-79.0,-5.0,SHOT
75.0,11.0,SHOT
59.0,6.0,SHOT
-48.0,3.0,SHOT
-76.0,-10.0,SHOT
-70.0,-2.0,SHOT
-46.0,-24.0,SHOT
72.0,19.0,SHOT
35.0,33.0,SHOT
63.0,5.0,GOAL
-53.0,7.0,GOAL
-76.0,4.0,SHOT
34.0,-29.0,SHOT
54.0,1.0,SHOT
-37.0,34.0,SHOT
49.0,25.0,SHOT
55.0,-11.0,SHOT
72.0,-18.0,SHOT
78.0,7.0,SHOT
-57.0,0.0,SHOT
-86.0,8.0,SHOT
78.0,-3.0,SHOT
39.0,27.0,SHOT
78.0,0.0,SHOT
54.0,4.0,SHOT
20.0,7.0,SHOT
38.0,-15.0,SHOT
58.0,-5.0,SHOT
76.0,0.0,SHOT
-71.0,10.0,SHOT
-76.0,10.0,SHOT
-63.0,6.0,SHOT
69.0,-25.0,SHOT
-81.0,-9.0,SHOT
74.0,4.0,GOAL
-77.0,-29.0,SHOT
-76.0,-29.0,GOAL
-63.0,2.0,SHOT
-84.0,-6.0,GOAL
20.0,37.0,SHOT
-51.0,31.0,SHOT
-86.0,12.0,SHOT
-69.0,-29.0,SHOT
78.0,-1.0,SHOT
-57.0,-23.0,SHOT
91.0,-21.0,SHOT
55.0,-8.0,SHOT
-54.0,37.0,SHOT
-70.0,-23.0,SHOT
57.0,39.0,SHOT
-78.0,36.0,SHOT
31.0,2.0,SHOT
80.0,39.0,SHOT
79.0,-12.0,SHOT
-71.0,33.0,SHOT
34.0,6.0,SHOT
-61.0,-6.0,SHOT
81.0,1.0,SHOT
57.0,-31.0,SHOT
-28.0,33.0,SHOT
37.0,-3.0,SHOT
-56.0,31.0,SHOT
52.0,23.0,GOAL
-87.0,32.0,SHOT
60.0,2.0,GOAL
